item_id,version_no,category_key,parent_id,parent_version,parent_category
NSW32,1,Age/NSW7,NSW3,1,Age/NSW3
NSW1,1,Age/NSW3,T,1,Age/All
NSW2,1,Age/NSW3,T,1,Age/All
NSW3,1,Age/NSW3,T,1,Age/All
W01001959,1,Geog/LSOA,542,1,Geog/LA
W01001960,1,Geog/LSOA,542,1,Geog/LA
W01001961,1,Geog/LSOA,542,1,Geog/LA
W01001962,1,Geog/LSOA,540,1,Geog/LA
W01001963,1,Geog/LSOA,540,1,Geog/LA
W01001964,1,Geog/LSOA,540,1,Geog/LA
W01001965,1,Geog/LSOA,540,1,Geog/LA
W01001966,1,Geog/LSOA,540,1,Geog/LA
W01001967,1,Geog/LSOA,540,1,Geog/LA
W01001968,1,Geog/LSOA,540,1,Geog/LA
W01001969,1,Geog/LSOA,522,1,Geog/LA
W01001970,1,Geog/LSOA,522,1,Geog/LA
W01001971,1,Geog/LSOA,522,1,Geog/LA
W01001972,1,Geog/LSOA,522,1,Geog/LA
W01001973,1,Geog/LSOA,545,1,Geog/LA
W01001974,1,Geog/LSOA,548,1,Geog/LA
W01001975,1,Geog/LSOA,548,1,Geog/LA
W01001976,1,Geog/LSOA,548,1,Geog/LA
W01001977,1,Geog/LSOA,548,1,Geog/LA
W01001978,1,Geog/LSOA,548,1,Geog/LA
W01001979,1,Geog/LSOA,548,1,Geog/LA
W01001980,1,Geog/LSOA,548,1,Geog/LA
W01001981,1,Geog/LSOA,536,1,Geog/LA
W01001982,1,Geog/LSOA,536,1,Geog/LA
W01001983,1,Geog/LSOA,536,1,Geog/LA
W01001984,1,Geog/LSOA,536,1,Geog/LA
W01001985,1,Geog/LSOA,534,1,Geog/LA
W01001986,1,Geog/LSOA,534,1,Geog/LA
W01001987,1,Geog/LSOA,534,1,Geog/LA
W01001988,1,Geog/LSOA,534,1,Geog/LA
W01001989,1,Geog/LSOA,534,1,Geog/LA
W01001990,1,Geog/LSOA,534,1,Geog/LA
W01001991,1,Geog/LSOA,532,1,Geog/LA
W01001992,1,Geog/LSOA,532,1,Geog/LA
W01001993,1,Geog/LSOA,532,1,Geog/LA
W01001994,1,Geog/LSOA,532,1,Geog/LA
W01001995,1,Geog/LSOA,532,1,Geog/LA
W01001996,1,Geog/LSOA,532,1,Geog/LA
W01001997,1,Geog/LSOA,532,1,Geog/LA
W01001998,1,Geog/LSOA,538,1,Geog/LA
W01001999,1,Geog/LSOA,530,1,Geog/LA
W01002000,1,Geog/LSOA,526,1,Geog/LA
W01002001,1,Geog/LSOA,526,1,Geog/LA
W01002002,1,Geog/LSOA,526,1,Geog/LA
W01002003,1,Geog/LSOA,514,1,Geog/LA
W01002004,1,Geog/LSOA,514,1,Geog/LA
W01002005,1,Geog/LSOA,512,1,Geog/LA
W01002007,1,Geog/LSOA,512,1,Geog/LA
W01002008,1,Geog/LSOA,512,1,Geog/LA
W01002009,1,Geog/LSOA,528,1,Geog/LA
W01002010,1,Geog/LSOA,528,1,Geog/LA
W01002011,1,Geog/LSOA,528,1,Geog/LA
W01002012,1,Geog/LSOA,528,1,Geog/LA
W01002013,1,Geog/LSOA,528,1,Geog/LA
W01002014,1,Geog/LSOA,528,1,Geog/LA
W01002016,1,Geog/LSOA,552,1,Geog/LA
W01002017,1,Geog/LSOA,552,1,Geog/LA
W01002018,1,Geog/LSOA,552,1,Geog/LA
W01002019,1,Geog/LSOA,552,1,Geog/LA
W01002020,1,Geog/LSOA,552,1,Geog/LA
W01002021,1,Geog/LSOA,552,1,Geog/LA
W01002022,1,Geog/LSOA,552,1,Geog/LA
W01002023,1,Geog/LSOA,552,1,Geog/LA
W01002024,1,Geog/LSOA,552,1,Geog/LA
W01002025,1,Geog/LSOA,552,1,Geog/LA
W01002026,1,Geog/LSOA,550,1,Geog/LA
W01002027,1,Geog/LSOA,550,1,Geog/LA
W01002028,1,Geog/LSOA,550,1,Geog/LA
W01002029,1,Geog/LSOA,550,1,Geog/LA
W01002030,1,Geog/LSOA,550,1,Geog/LA
W01002031,1,Geog/LSOA,550,1,Geog/LA
W01002032,1,Geog/LSOA,550,1,Geog/LA
W01002033,1,Geog/LSOA,550,1,Geog/LA
W01002034,1,Geog/LSOA,550,1,Geog/LA
W01002035,1,Geog/LSOA,550,1,Geog/LA
W01002036,1,Geog/LSOA,538,1,Geog/LA
W01002037,1,Geog/LSOA,538,1,Geog/LA
W01002038,1,Geog/LSOA,538,1,Geog/LA
W01002039,1,Geog/LSOA,538,1,Geog/LA
W01002040,1,Geog/LSOA,538,1,Geog/LA
W01001922,1,Geog/LSOA,552,1,Geog/LA
W01001923,1,Geog/LSOA,530,1,Geog/LA
W01001924,1,Geog/LSOA,530,1,Geog/LA
W01001897,1,Geog/LSOA,524,1,Geog/LA
W01001898,1,Geog/LSOA,542,1,Geog/LA
W01001899,1,Geog/LSOA,524,1,Geog/LA
W01001900,1,Geog/LSOA,534,1,Geog/LA
W01001901,1,Geog/LSOA,524,1,Geog/LA
512,1,Geog/LA,NW,1,Geog/WelshRegion
514,1,Geog/LA,NW,1,Geog/WelshRegion
516,1,Geog/LA,NW,1,Geog/WelshRegion
518,1,Geog/LA,NW,1,Geog/WelshRegion
520,1,Geog/LA,NW,1,Geog/WelshRegion
522,1,Geog/LA,NW,1,Geog/WelshRegion
524,1,Geog/LA,MW,1,Geog/WelshRegion
526,1,Geog/LA,MW,1,Geog/WelshRegion
528,1,Geog/LA,SWW,1,Geog/WelshRegion
530,1,Geog/LA,SWW,1,Geog/WelshRegion
532,1,Geog/LA,SWW,1,Geog/WelshRegion
534,1,Geog/LA,SWW,1,Geog/WelshRegion
536,1,Geog/LA,SEW,1,Geog/WelshRegion
538,1,Geog/LA,SEW,1,Geog/WelshRegion
540,1,Geog/LA,SEW,1,Geog/WelshRegion
542,1,Geog/LA,SEW,1,Geog/WelshRegion
544,1,Geog/LA,SEW,1,Geog/WelshRegion
545,1,Geog/LA,SEW,1,Geog/WelshRegion
546,1,Geog/LA,SEW,1,Geog/WelshRegion
548,1,Geog/LA,SEW,1,Geog/WelshRegion
550,1,Geog/LA,SEW,1,Geog/WelshRegion
552,1,Geog/LA,SEW,1,Geog/WelshRegion
W01001902,1,Geog/LSOA,524,1,Geog/LA
W01001903,1,Geog/LSOA,524,1,Geog/LA
W01001904,1,Geog/LSOA,524,1,Geog/LA
W01001905,1,Geog/LSOA,524,1,Geog/LA
W01001906,1,Geog/LSOA,524,1,Geog/LA
W01001907,1,Geog/LSOA,524,1,Geog/LA
W01001908,1,Geog/LSOA,548,1,Geog/LA
W01001910,1,Geog/LSOA,538,1,Geog/LA
W01001911,1,Geog/LSOA,538,1,Geog/LA
W01001912,1,Geog/LSOA,550,1,Geog/LA
W01001913,1,Geog/LSOA,550,1,Geog/LA
W01001914,1,Geog/LSOA,540,1,Geog/LA
W01001915,1,Geog/LSOA,540,1,Geog/LA
W01001916,1,Geog/LSOA,540,1,Geog/LA
W01001917,1,Geog/LSOA,540,1,Geog/LA
W01001918,1,Geog/LSOA,536,1,Geog/LA
W01001919,1,Geog/LSOA,536,1,Geog/LA
W01001920,1,Geog/LSOA,536,1,Geog/LA
W01001921,1,Geog/LSOA,536,1,Geog/LA
W01001925,1,Geog/LSOA,530,1,Geog/LA
W01001926,1,Geog/LSOA,516,1,Geog/LA
W01001927,1,Geog/LSOA,516,1,Geog/LA
W01001928,1,Geog/LSOA,516,1,Geog/LA
W01001929,1,Geog/LSOA,522,1,Geog/LA
W01001930,1,Geog/LSOA,522,1,Geog/LA
W01001931,1,Geog/LSOA,522,1,Geog/LA
W01001932,1,Geog/LSOA,514,1,Geog/LA
W01001933,1,Geog/LSOA,514,1,Geog/LA
W01001935,1,Geog/LSOA,526,1,Geog/LA
W01001936,1,Geog/LSOA,526,1,Geog/LA
W01001937,1,Geog/LSOA,526,1,Geog/LA
W01001940,1,Geog/LSOA,552,1,Geog/LA
W01001942,1,Geog/LSOA,552,1,Geog/LA
W01001943,1,Geog/LSOA,552,1,Geog/LA
W01001944,1,Geog/LSOA,552,1,Geog/LA
W01001946,1,Geog/LSOA,552,1,Geog/LA
W01001947,1,Geog/LSOA,552,1,Geog/LA
W01001948,1,Geog/LSOA,552,1,Geog/LA
W01001949,1,Geog/LSOA,552,1,Geog/LA
W01001950,1,Geog/LSOA,552,1,Geog/LA
